Switched-In;Switched-Out;CPU;PID;TID;Comm;Runtime;Time Out-In;Time Out-Out;Time In-In;Time In-Out
4670.162393929;4670.162402584;18;48165;48871;ThreadPoolForeg;8655;8457086;8465741;8946824;8955479
4670.162427747;4670.162430548;13;16;16;rcu_preempt;2801;4006357;4009158;4010449;4013250
4670.153986250;4670.162434175;11;48165;48165;chromium;8447925;137313;8585238;141621;8589546
4670.162321595;4670.162443359;2;48165;48168;ThreadPoolForeg;121764;8225761;8347525;8237029;8358793
4670.162435228;4670.162446677;24;48165;48872;ThreadPoolForeg;11449;8686506;8697955;8935214;8946663
4670.162491811;4670.162506819;17;48165;48877;ThreadPoolForeg;15008;8734477;8749485;9020007;9035015
4670.162405241;4670.162533992;18;48165;48871;ThreadPoolForeg;128751;2657;131408;11312;140063
4670.162290944;4670.162559742;14;48165;48167;ThreadPoolForeg;268798;379652;648450;391799;660597
4670.162449256;4670.162559777;24;48165;48872;ThreadPoolForeg;110521;2579;113100;14028;124549
4670.162355434;4670.162563241;0;48165;48869;ThreadPoolForeg;207807;8629580;8837387;8945647;9153454
4670.162561616;4670.162566145;24;48165;48872;ThreadPoolForeg;4529;1839;6368;112360;116889
4670.162445518;4670.162578357;2;48165;48168;ThreadPoolForeg;132839;2159;134998;123923;256762
4670.162393881;4670.162579245;23;48165;48870;ThreadPoolForeg;185364;8633748;8819112;8909306;9094670
4670.162436877;4670.162594610;11;48165;48165;chromium;157733;2702;160435;8450627;8608360
4670.162536084;4670.162682574;18;48165;48871;ThreadPoolForeg;146490;2092;148582;130843;277333
4670.162746424;4670.162750785;11;48165;48165;chromium;4361;151814;156175;309547;313908
4670.162364044;4670.162920659;4;48165;48868;ThreadPoolForeg;556615;1780;558395;10102;566717
4670.163067031;4670.163078012;14;48165;48167;ThreadPoolForeg;10981;507289;518270;776087;787068
4670.166344312;4670.166599569;14;48165;48167;ThreadPoolForeg;255257;3266300;3521557;3277281;3532538
4670.167819244;4670.167865091;8;3902;3957;Chrome_IOThread;45847;63930012;63975859;64004315;64050162
4670.167839776;4670.167866404;12;48165;48171;Compositor;26628;25467936;25494564;25655136;25681764
4670.167897313;4670.167960734;4;3902;3902;chromium;63421;63857554;63920975;63974234;64037655
4670.167953999;4670.167979466;21;4140;4230;Chrome_ChildIOT;25467;59090976;59116443;59115244;59140711
4670.168033877;4670.168069480;8;4140;4232;VizCompositorTh;35603;24631317;24666920;24710776;24746379
4670.168163062;4670.168203959;2;48165;48168;ThreadPoolForeg;40897;5584705;5625602;5717544;5758441
4670.167374147;4670.168520909;14;48165;48167;ThreadPoolForeg;1146762;774578;1921340;1029835;2176597
4670.168879599;4670.168926717;4;48165;48868;ThreadPoolForeg;47118;5958940;6006058;6515555;6562673
4670.169062707;4670.169074499;12;48165;48171;Compositor;11792;1196303;1208095;1222931;1234723
4670.169080225;4670.169099153;10;4144;4150;Chrome_ChildIOT;18928;15944981;15963909;15976430;15995358
4670.168533816;4670.169849981;14;48165;48167;ThreadPoolForeg;1316165;12907;1329072;1159669;2475834
4670.170218324;4670.170325442;14;48165;48167;ThreadPoolForeg;107118;368343;475461;1684508;1791626
4670.168598751;4670.170414304;2;48165;48168;ThreadPoolForeg;1815553;394792;2210345;435689;2251242
4670.170414304;4670.170421290;2;22;22;migration/2;6986;1230734321;1230741307;1230762456;1230769442
4670.170551053;4670.170714974;14;48165;48167;ThreadPoolForeg;163921;225611;389532;332729;496650
4670.170716917;4670.170721462;14;48165;48167;ThreadPoolForeg;4545;1943;6488;165864;170409
4670.162974625;4670.171141018;11;48165;48165;chromium;8166393;223840;8390233;228201;8394594
4670.171137639;4670.171254540;10;4144;4150;Chrome_ChildIOT;116901;2038486;2155387;2057414;2174315
4670.171261240;4670.171279202;12;48165;48169;Chrome_ChildIOT;17962;21123225;21141187;21205472;21223434
4670.171347998;4670.171400968;11;48165;48165;chromium;52970;206980;259950;8373373;8426343
4670.171457598;4670.171473368;12;48165;48169;Chrome_ChildIOT;15770;178396;194166;196358;212128
4670.171471067;4670.171487781;11;48165;48165;chromium;16714;70099;86813;123069;139783
4670.171507048;4670.171528269;14;3902;3957;Chrome_IOThread;21221;3641957;3663178;3687804;3709025
4670.171399000;4670.171533261;10;4144;4150;Chrome_ChildIOT;134261;144460;278721;261361;395622
4670.171565139;4670.171580629;12;48165;48169;Chrome_ChildIOT;15490;91771;107261;107541;123031
4670.171565727;4670.171611814;4;3902;3902;chromium;46087;3604993;3651080;3668414;3714501
4670.171621548;4670.171661532;11;48165;48165;chromium;39984;133767;173751;150481;190465
4670.171659723;4670.171732240;10;4144;4150;Chrome_ChildIOT;72517;126462;198979;260723;333240
4670.171755817;4670.171770803;12;48165;48169;Chrome_ChildIOT;14986;175188;190174;190678;205664
4670.171818863;4670.171847538;11;48165;48165;chromium;28675;157331;186006;197315;225990
4670.171851091;4670.171875785;11;48165;48165;chromium;24694;3553;28247;32228;56922
4670.171874085;4670.171942469;10;4144;4150;Chrome_ChildIOT;68384;141845;210229;214362;282746
4670.171932565;4670.171948020;12;48165;48169;Chrome_ChildIOT;15455;161762;177217;176748;192203
4670.171946010;4670.171959960;11;48165;48165;chromium;13950;70225;84175;94919;108869
4670.171971024;4670.171988278;14;3902;3957;Chrome_IOThread;17254;442755;460009;463976;481230
4670.171958658;4670.172006097;10;4144;4150;Chrome_ChildIOT;47439;16189;63628;84573;132012
4670.170518072;4670.172017353;8;48165;48168;ThreadPoolForeg;1499281;103768;1603049;1919321;3418602
4670.172027943;4670.172064362;4;3902;3902;chromium;36419;416129;452548;462216;498635
4670.172054218;4670.172070847;12;48165;48169;Chrome_ChildIOT;16629;106198;122827;121653;138282
4670.172140622;4670.172207522;11;48165;48165;chromium;66900;180662;247562;194612;261512
4670.172205706;4670.172264091;10;4144;4150;Chrome_ChildIOT;58385;199609;257994;247048;305433
4670.172256019;4670.172272590;12;48165;48169;Chrome_ChildIOT;16571;185172;201743;201801;218372
4670.172296830;4670.172314157;14;3902;3957;Chrome_IOThread;17327;308552;325879;325806;343133
4670.172346049;4670.172381446;4;3902;3902;chromium;35397;281687;317084;318106;353503
4670.172404495;4670.172410362;14;48165;48167;ThreadPoolForeg;5867;1683033;1688900;1687578;1693445
4670.172411969;4670.172413065;14;48165;48167;ThreadPoolForeg;1096;1607;2703;7474;8570
4670.172479244;4670.172485535;0;48165;48869;ThreadPoolForeg;6291;9916003;9922294;10123810;10130101
4670.172414102;4670.172496468;14;48165;48167;ThreadPoolForeg;82366;1037;83403;2133;84499
4670.172478774;4670.172513071;4;48165;48868;ThreadPoolForeg;34297;3552057;3586354;3599175;3633472
4670.172497870;4670.172519841;14;48165;48167;ThreadPoolForeg;21971;1402;23373;83768;105739
4670.172487813;4670.172523211;0;48165;48869;ThreadPoolForeg;35398;2278;37676;8569;43967
4670.172520875;4670.172568309;18;48165;48871;ThreadPoolForeg;47434;9838301;9885735;9984791;10032225
4670.172558723;4670.172572058;24;48165;48872;ThreadPoolForeg;13335;9992578;10005913;9997107;10010442
4670.172521107;4670.172601518;14;48165;48167;ThreadPoolForeg;80411;1266;81677;23237;103648
4670.172527043;4670.172604065;0;48165;48869;ThreadPoolForeg;77022;3832;80854;39230;116252
4670.172603163;4670.172606589;14;48165;48167;ThreadPoolForeg;3426;1645;5071;82056;85482
4670.172273763;4670.172611689;11;48165;48165;chromium;337926;66241;404167;133141;471067
4670.172612704;4670.172623878;17;48165;48877;ThreadPoolForeg;11174;10105885;10117059;10120893;10132067
4670.172404222;4670.172650933;8;48165;48168;ThreadPoolForeg;246711;386869;633580;1886150;2132861
4670.172571318;4670.172679634;18;48165;48871;ThreadPoolForeg;108316;3009;111325;50443;158759
4670.172514859;4670.172699338;4;48165;48868;ThreadPoolForeg;184479;1788;186267;36085;220564
4670.172574397;4670.172703762;24;48165;48872;ThreadPoolForeg;129365;2339;131704;15674;145039
4670.172484904;4670.172764763;23;48165;48870;ThreadPoolForeg;279859;9905659;10185518;10091023;10370882
4670.172882885;4670.172893501;14;48165;48167;ThreadPoolForeg;10616;276296;286912;279722;290338
4670.172613205;4670.172903093;11;48165;48165;chromium;289888;1516;291404;339442;629330
4670.175172926;4670.175184126;12;48165;48171;Compositor;11200;6098427;6109627;6110219;6121419
4670.176329746;4670.176335842;12;48165;48169;Chrome_ChildIOT;6096;4057156;4063252;4073727;4079823
4670.176196149;4670.176352371;8;4140;4232;VizCompositorTh;156222;8126669;8282891;8162272;8318494
4670.176381894;4670.176430605;14;48165;48171;Compositor;48711;1197768;1246479;1208968;1257679
4670.177908283;4670.177927600;14;48165;48171;Compositor;19317;1477678;1496995;1526389;1545706
4670.177960704;4670.177979757;8;3902;3957;Chrome_IOThread;19053;5646547;5665600;5663874;5682927
4670.178017128;4670.178052244;4;3902;3902;chromium;35116;5635682;5670798;5671079;5706195
4670.176359585;4670.178198459;11;48165;48165;chromium;1838874;3456492;5295366;3746380;5585254
4670.178275062;4670.178313034;11;48165;48165;chromium;37972;76603;114575;1915477;1953449
4670.178238366;4670.178331759;14;48165;48171;Compositor;93393;310766;404159;330083;423476
4670.178359604;4670.178412323;8;48165;48167;ThreadPoolForeg;52719;5466103;5518822;5476719;5529438
4670.178419044;4670.178514947;14;48165;48171;Compositor;95903;87285;183188;180678;276581
4670.178547380;4670.178567470;12;48165;48169;Chrome_ChildIOT;20090;2211538;2231628;2217634;2237724
4670.178621285;4670.178678729;21;4140;4230;Chrome_ChildIOT;57444;10641819;10699263;10667286;10724730
4670.178721861;4670.178741554;12;48165;48169;Chrome_ChildIOT;19693;154391;174084;174481;194174
4670.178775077;4670.178836329;14;48165;48171;Compositor;61252;260130;321382;356033;417285
4670.178701409;4670.178894659;1;4140;4140;chromium;193250;25257438;25450688;25291676;25484926
4670.178871662;4670.178898286;21;4140;4230;Chrome_ChildIOT;26624;192933;219557;250377;277001
4670.178884931;4670.178902459;11;48165;48165;chromium;17528;571897;589425;609869;627397
4670.179056467;4670.179071820;12;48165;48169;Chrome_ChildIOT;15353;314913;330266;334606;349959
4670.178933912;4670.179125318;8;4140;4232;VizCompositorTh;191406;2581541;2772947;2737763;2929169
4670.179107699;4670.179125516;14;48165;48171;Compositor;17817;271370;289187;332622;350439
4670.179191423;4670.179206896;12;48165;48169;Chrome_ChildIOT;15473;119603;135076;134956;150429
4670.179203878;4670.179210654;14;48165;48171;Compositor;6776;78362;85138;96179;102955
4670.179361740;4670.179367884;13;49269;49269;kworker/u64:2;6144;24395687;24401831;24399824;24405968
4670.179165442;4670.179402837;1;4140;4140;chromium;237395;270783;508178;464033;701428
4670.179743200;4670.179764089;8;4140;4232;VizCompositorTh;20889;617882;638771;809288;830177
4670.179853384;4670.179854532;13;49269;49269;kworker/u64:2;1148;485500;486648;491644;492792
4670.179750781;4670.179894179;17;3959;3959;Xwayland;143398;36549515;36692913;36580788;36724186
4670.179887315;4670.179911115;1;4140;4140;chromium;23800;484478;508278;721873;745673
4670.179895289;4670.179956340;0;2376;2376;gnome-shell;61051;23744116;23805167;23787176;23848227
4670.179964313;4670.179976419;17;3959;3959;Xwayland;12106;70134;82240;213532;225638
4670.180027405;4670.180041348;1;4140;4140;chromium;13943;116290;130233;140090;154033
4670.180111969;4670.180138379;17;3959;3959;Xwayland;26410;135550;161960;147656;174066
4670.180167327;4670.180181523;1;4140;4140;chromium;14196;125979;140175;139922;154118
4670.180210304;4670.180223941;17;3959;3959;Xwayland;13637;71925;85562;98335;111972
4670.180262389;4670.180300439;1;4140;4140;chromium;38050;80866;118916;95062;133112
4670.182166586;4670.182189179;20;49599;49599;kworker/20:1;22593;37621710;37644303;37637280;37659873
4670.182340618;4670.182343309;13;49269;49269;kworker/u64:2;2691;2486086;2488777;2487234;2489925
4670.182373911;4670.182377363;23;16;16;rcu_preempt;3452;19943363;19946815;19946164;19949616
4670.182418526;4670.182422277;13;49269;49269;kworker/u64:2;3751;75217;78968;77908;81659
4670.186758759;4670.186765029;20;49599;49599;kworker/20:1;6270;4569580;4575850;4592173;4598443
4670.186817973;4670.186876953;0;2376;2376;gnome-shell;58980;6861633;6920613;6922684;6981664
4670.186932443;4670.186953554;17;3959;3959;Xwayland;21111;6708502;6729613;6722139;6743250
4670.187894689;4670.188006400;11;48165;48165;chromium;111711;8992230;9103941;9009758;9121469
4670.187994078;4670.188008943;12;48165;48169;Chrome_ChildIOT;14865;8787182;8802047;8802655;8817520
4670.188040900;4670.188080506;8;3902;3957;Chrome_IOThread;39606;10061143;10100749;10080196;10119802
4670.188109843;4670.188175125;4;3902;3902;chromium;65282;10057599;10122881;10092715;10157997
4670.190050440;4670.190119678;11;48165;48165;chromium;69238;2044040;2113278;2155751;2224989
4670.190434859;4670.190439590;23;16;16;rcu_preempt;4731;8057496;8062227;8060948;8065679
4670.202290061;4670.202313190;12;48165;48169;Chrome_ChildIOT;23129;14281118;14304247;14295983;14319112
4670.202069883;4670.202324781;10;4144;4150;Chrome_ChildIOT;254898;29805792;30060690;29864177;30119075
4670.202434025;4670.202444657;23;16;16;rcu_preempt;10632;11994435;12005067;11999166;12009798
4670.202461601;4670.202489640;10;4144;4150;Chrome_ChildIOT;28039;136820;164859;391718;419757
4670.202322416;4670.202815669;11;48165;48165;chromium;493253;12202738;12695991;12271976;12765229
4670.205615732;4670.205757377;10;4144;4150;Chrome_ChildIOT;141645;3126092;3267737;3154131;3295776
4670.207818832;4670.207916748;10;4144;4150;Chrome_ChildIOT;97916;2061455;2159371;2203100;2301016
4670.207960960;4670.208033222;8;3902;3957;Chrome_IOThread;72262;19880454;19952716;19920060;19992322
4670.208157256;4670.208160260;13;49269;49269;kworker/u64:2;3004;25734979;25737983;25738730;25741734
4670.208168210;4670.208179262;21;308;308;kworker/u65:0;11052;52048276;52059328;52057560;52068612
4670.206986817;4670.208185451;0;2376;2376;gnome-shell;1198634;20109864;21308498;20168844;21367478
4670.208067871;4670.208221563;4;3902;3902;chromium;153692;19892746;20046438;19958028;20111720
4670.208171985;4670.208249267;10;4144;4150;Chrome_ChildIOT;77282;255237;332519;353153;430435
4670.208229726;4670.208308830;17;3959;3959;Xwayland;79104;21276172;21355276;21297283;21376387
4670.209405918;4670.209489845;1;4140;4140;chromium;83927;29105479;29189406;29143529;29227456
4670.209549107;4670.209623336;17;3959;3959;Xwayland;74229;1240277;1314506;1319381;1393610
4670.209650895;4670.209716105;1;4140;4140;chromium;65210;161050;226260;244977;310187
4670.209746494;4670.209786924;17;3959;3959;Xwayland;40430;123158;163588;197387;237817
4670.209821647;4670.209870269;1;4140;4140;chromium;48622;105542;154164;170752;219374
4670.209908555;4670.209946348;17;3959;3959;Xwayland;37793;121631;159424;162061;199854
4670.209969269;4670.209987620;12;48165;48169;Chrome_ChildIOT;18351;7656079;7674430;7679208;7697559
4670.209884971;4670.209999190;14;4140;4232;VizCompositorTh;114219;30120882;30235101;30141771;30255990
4670.209988587;4670.210037984;1;4140;4140;chromium;49397;118318;167715;166940;216337
4670.210097414;4670.210138555;17;3959;3959;Xwayland;41141;151066;192207;188859;230000
4670.210046185;4670.210183615;16;48165;48171;Compositor;137430;30835531;30972961;30842307;30979737
4670.210129238;4670.210222258;1;4140;4140;chromium;93020;91254;184274;140651;233671
4670.210219768;4670.210276680;21;4140;4230;Chrome_ChildIOT;56912;31321482;31378394;31348106;31405018
4670.210258704;4670.210380422;14;4140;4232;VizCompositorTh;121718;259514;381232;373733;495451
4670.210398196;4670.210409944;20;49599;49599;kworker/20:1;11748;23633167;23644915;23639437;23651185
4670.210411663;4670.210421610;23;16;16;rcu_preempt;9947;7967006;7976953;7977638;7987585
4670.210427176;4670.210460708;21;308;308;kworker/u65:0;33532;2247914;2281446;2258966;2292498
4670.211350627;4670.211419414;16;48165;48171;Compositor;68787;1167012;1235799;1304442;1373229
4670.211726605;4670.211753120;13;7180;7180;kitty;26515;50048300;50074815;50059217;50085732
4670.212628694;4670.212697925;16;48165;48171;Compositor;69231;1209280;1278511;1278067;1347298
4670.212728808;4670.212787501;14;3902;3957;Chrome_IOThread;58693;4695586;4754279;4767848;4826541
4670.212817033;4670.212909874;4;3902;3902;chromium;92841;4595470;4688311;4749162;4842003
4670.206462803;4670.213366738;11;48165;48165;chromium;6903935;3647134;10551069;4140387;11044322
4670.213432954;4670.213653664;16;48165;48171;Compositor;220710;735029;955739;804260;1024970
4670.213674562;4670.213698441;16;48165;48171;Compositor;23879;20898;44777;241608;265487
4670.213564636;4670.213700621;11;48165;48165;chromium;135985;197898;333883;7101833;7237818
4670.213636345;4670.213743450;1;48165;48168;ThreadPoolForeg;107105;40985412;41092517;41232123;41339228
4670.213783939;4670.213992801;16;48165;48171;Compositor;208862;85498;294360;109377;318239
4670.213985429;4670.214005143;12;48165;48169;Chrome_ChildIOT;19714;3997809;4017523;4016160;4035874
4670.214064737;4670.214168674;21;4140;4230;Chrome_ChildIOT;103937;3788057;3891994;3844969;3948906
4670.214154652;4670.214176213;12;48165;48169;Chrome_ChildIOT;21561;149509;171070;169223;190784
4670.214217830;4670.214326932;16;48165;48171;Compositor;109102;225029;334131;433891;542993
4670.214412505;4670.214419158;23;16;16;rcu_preempt;6653;3990895;3997548;4000842;4007495
4670.214359622;4670.214419578;21;4140;4230;Chrome_ChildIOT;59956;190948;250904;294885;354841
4670.214385649;4670.214434353;11;48165;48165;chromium;48704;685028;733732;821013;869717
4670.214176563;4670.214478795;1;4140;4140;chromium;302232;3954305;4256537;4047325;4349557
4670.214628774;4670.214639686;12;48165;48169;Chrome_ChildIOT;10912;452561;463473;474122;485034
4670.214670027;4670.214710646;16;48165;48171;Compositor;40619;343095;383714;452197;492816
4670.214793502;4670.214803584;12;48165;48169;Chrome_ChildIOT;10082;153816;163898;164728;174810
4670.214455243;4670.214815553;14;4140;4232;VizCompositorTh;360310;4074821;4435131;4196539;4556849
4670.214837788;4670.214876222;16;48165;48171;Compositor;38434;127142;165576;167761;206195
4670.214823933;4670.215257632;1;4140;4140;chromium;433699;345138;778837;647370;1081069
4670.215443569;4670.215493524;14;4140;4232;VizCompositorTh;49955;628016;677971;988326;1038281
4670.215445214;4670.215681884;17;3959;3959;Xwayland;236670;5306659;5543329;5347800;5584470
4670.215646380;4670.215701221;1;4140;4140;chromium;54841;388748;443589;822447;877288
4670.215749186;4670.215774923;17;3959;3959;Xwayland;25737;67302;93039;303972;329709
4670.215686942;4670.215781937;0;2376;2376;gnome-shell;94995;7501491;7596486;8700125;8795120
4670.215772218;4670.215791610;1;4140;4140;chromium;19392;70997;90389;125838;145230
4670.215846727;4670.215871918;17;3959;3959;Xwayland;25191;71804;96995;97541;122732
4670.215906621;4670.215944181;1;4140;4140;chromium;37560;115011;152571;134403;171963
4670.215972943;4670.215999882;17;3959;3959;Xwayland;26939;101025;127964;126216;153155
4670.216036009;4670.216127582;1;4140;4140;chromium;91573;91828;183401;129388;220961
4670.208633152;4670.217081374;8;48165;48167;ThreadPoolForeg;8448222;30220829;38669051;30273548;38721770
4670.217810868;4670.217815686;20;49599;49599;kworker/20:1;4818;7400924;7405742;7412672;7417490
4670.220526185;4670.221066599;8;48165;48167;ThreadPoolForeg;540414;3444811;3985225;11893033;12433447
4670.222357328;4670.222371916;20;49599;49599;kworker/20:1;14588;4541642;4556230;4546460;4561048
4670.222408028;4670.222551128;0;2376;2376;gnome-shell;143100;6626091;6769191;6721086;6864186
4670.222597144;4670.222652269;17;3959;3959;Xwayland;55125;6597262;6652387;6624201;6679326
4670.222815578;4670.222839056;21;308;308;kworker/u65:0;23478;12354870;12378348;12388402;12411880
4670.222839056;4670.222864336;21;389;389;kworker/21:1H;25280;66709267;66734547;66719122;66744402
4670.222815304;4670.222949556;0;2376;2376;gnome-shell;134252;264176;398428;407276;541528
4670.219273766;4670.224909660;11;48165;48165;chromium;5635894;4839413;10475307;4888117;10524011
4670.242205566;4670.242216931;21;308;308;kworker/u65:0;11365;19366510;19377875;19389988;19401353
4670.241060548;4670.242241123;0;2376;2376;gnome-shell;1180575;18110992;19291567;18245244;19425819
4670.242197895;4670.242277799;1;4140;4140;chromium;79904;26070313;26150217;26161886;26241790
4670.242279531;4670.242408797;17;3959;3959;Xwayland;129266;19627262;19756528;19682387;19811653
4670.242416841;4670.242467483;16;48165;48171;Compositor;50642;27540619;27591261;27579053;27629695
4670.242418407;4670.242489077;1;4140;4140;chromium;70670;140608;211278;220512;291182
4670.242520891;4670.242561241;17;3959;3959;Xwayland;40350;112094;152444;241360;281710
4670.236787487;4670.242596926;11;48165;48165;chromium;5809439;11877827;17687266;17513721;23323160
4670.242599596;4670.242650814;1;4140;4140;chromium;51218;110519;161737;181189;232407
4670.242607070;4670.242727597;14;4140;4232;VizCompositorTh;120527;27113546;27234073;27163501;27284028
4670.242687838;4670.242729363;17;3959;3959;Xwayland;41525;126597;168122;166947;208472
4670.242745475;4670.242809766;12;48165;48169;Chrome_ChildIOT;64291;27941891;28006182;27951973;28016264
4670.242765394;4670.242816575;1;4140;4140;chromium;51181;114580;165761;165798;216979
4670.242853044;4670.242896743;17;3959;3959;Xwayland;43699;123681;167380;165206;208905
4670.242886627;4670.242985152;1;4140;4140;chromium;98525;70052;168577;121233;219758
4670.242833481;4670.242989255;16;48165;48171;Compositor;155774;365998;521772;416640;572414
4670.242999318;4670.243070735;14;4140;4232;VizCompositorTh;71417;271721;343138;392248;463665
4670.244360595;4670.244436299;16;48165;48171;Compositor;75704;1371340;1447044;1527114;1602818
4670.244475221;4670.244545474;14;3902;3957;Chrome_IOThread;70253;31687720;31757973;31746413;31816666
4670.244568439;4670.244581646;20;49599;49599;kworker/20:1;13207;22196523;22209730;22211111;22224318
4670.244629648;4670.244670055;21;308;308;kworker/u65:0;40407;2412717;2453124;2424082;2464489
4670.244583870;4670.244703444;4;3902;3902;chromium;119574;31673996;31793570;31766837;31886411
4670.242936517;4670.245227317;11;48165;48165;chromium;2290800;339591;2630391;6149030;8439830
4670.245420247;4670.245551385;11;48165;48165;chromium;131138;192930;324068;2483730;2614868
4670.245283637;4670.245585323;16;48165;48171;Compositor;301686;847338;1149024;923042;1224728
4670.245680669;4670.245717870;16;48165;48171;Compositor;37201;95346;132547;397032;434233
4670.245611269;4670.245744314;8;48165;48167;ThreadPoolForeg;133045;24544670;24677715;25085084;25218129
4670.245733047;4670.245958688;16;48165;48171;Compositor;225641;15177;240818;52378;278019
4670.245993398;4670.246072625;12;48165;48169;Chrome_ChildIOT;79227;3183632;3262859;3247923;3327150
4670.246108801;4670.246235070;21;4140;4230;Chrome_ChildIOT;126269;31689223;31815492;31749179;31875448
4670.246259089;4670.246323647;12;48165;48169;Chrome_ChildIOT;64558;186464;251022;265691;330249
4670.246370110;4670.246382775;16;48165;48171;Compositor;12665;411422;424087;637063;649728
4670.246382775;4670.246408730;16;64;64;migration/16;25955;962283021;962308976;962291122;962317077
4670.246185560;4670.246474420;1;4140;4140;chromium;288860;3200408;3489268;3298933;3587793
4670.246451221;4670.246606499;6;48165;48171;Compositor;155278;68446;223724;81111;236389
4670.246621614;4670.246688873;21;4140;4230;Chrome_ChildIOT;67259;386544;453803;512813;580072
4670.246632556;4670.246693469;11;48165;48165;chromium;60913;1081171;1142084;1212309;1273222
4670.246965886;4670.247017322;12;48165;48169;Chrome_ChildIOT;51436;642239;693675;706797;758233
4670.247048299;4670.247107221;6;48165;48171;Compositor;58922;441800;500722;597078;656000
4670.246719004;4670.247131828;14;4140;4232;VizCompositorTh;412824;3648269;4061093;3719686;4132510
4670.247149187;4670.247201543;12;48165;48169;Chrome_ChildIOT;52356;131865;184221;183301;235657
4670.247231008;4670.247291093;6;48165;48171;Compositor;60085;123787;183872;182709;242794
4670.247093705;4670.247487304;1;4140;4140;chromium;393599;619285;1012884;908145;1301744
4670.247608139;4670.247666745;14;4140;4232;VizCompositorTh;58606;476311;534917;889135;947741
4670.247633280;4670.247763105;11;48165;48165;chromium;129825;939811;1069636;1000724;1130549
4670.247615490;4670.247890275;17;3959;3959;Xwayland;274785;4718747;4993532;4762446;5037231
4670.247855152;4670.247919392;1;4140;4140;chromium;64240;367848;432088;761447;825687
4670.247962418;4670.247993831;17;3959;3959;Xwayland;31413;72143;103556;346928;378341
4670.247895880;4670.248010619;0;2376;2376;gnome-shell;114739;5654757;5769496;6835332;6950071
4670.247989069;4670.248010916;1;4140;4140;chromium;21847;69677;91524;133917;155764
4670.248071926;4670.248102866;17;3959;3959;Xwayland;30940;78095;109035;109508;140448
4670.248143444;4670.248186636;1;4140;4140;chromium;43192;132528;175720;154375;197567
4670.248222705;4670.248255746;17;3959;3959;Xwayland;33041;119839;152880;150779;183820
4670.248292604;4670.248400278;1;4140;4140;chromium;107674;105968;213642;149160;256834
4670.249350918;4670.249567740;10;4144;4150;Chrome_ChildIOT;216822;41101651;41318473;41178933;41395755
4670.249575813;4670.249637629;12;48165;48169;Chrome_ChildIOT;61816;2374270;2436086;2426626;2488442
4670.249781111;4670.249827544;10;4144;4150;Chrome_ChildIOT;46433;213371;259804;430193;476626
4670.250016917;4670.250028525;20;49599;49599;kworker/20:1;11608;5435271;5446879;5448478;5460086
4670.249664848;4670.250149885;11;48165;48165;chromium;485037;1901743;2386780;2031568;2516605
4670.250427841;4670.250437775;23;16;16;rcu_preempt;9934;36008683;36018617;36015336;36025270
4670.252936842;4670.253062397;10;4144;4150;Chrome_ChildIOT;125555;3109298;3234853;3155731;3281286
4670.254691373;4670.254709812;20;49599;49599;kworker/20:1;18439;4662848;4681287;4674456;4692895
4670.254749541;4670.254941914;0;2376;2376;gnome-shell;192373;6738922;6931295;6853661;7046034
4670.254990184;4670.255063304;17;3959;3959;Xwayland;73120;6734438;6807558;6767479;6840599
4670.256159058;4670.256197183;21;308;308;kworker/u65:0;38125;11489003;11527128;11529410;11567535
4670.256197183;4670.256233503;21;389;389;kworker/21:1H;36320;33332847;33369167;33358127;33394447
4670.256189112;4670.256381239;0;2376;2376;gnome-shell;192127;1247198;1439325;1439571;1631698
4670.258462149;4670.258478134;23;16;16;rcu_preempt;15985;8024374;8040359;8034308;8050293
4670.259826073;4670.259952896;4;3902;3902;chromium;126823;15122629;15249452;15242203;15369026
4670.261067617;4670.261189145;4;3902;3902;chromium;121528;1114721;1236249;1241544;1363072
4670.261865291;4670.261905325;13;7180;7180;kitty;40034;50112171;50152205;50138686;50178720
4670.266303969;4670.266645936;4;3902;3902;chromium;341967;5114824;5456791;5236352;5578319
4670.266636474;4670.266763306;14;3902;3957;Chrome_IOThread;126832;22091000;22217832;22161253;22288085
4670.266811635;4670.266965884;21;4140;4230;Chrome_ChildIOT;154249;20122762;20277011;20190021;20344270
4670.266986864;4670.267540742;1;4140;4140;chromium;553878;18586586;19140464;18694260;19248138
4670.267754842;4670.268022556;4;3902;3902;chromium;267714;1108906;1376620;1450873;1718587
4670.268008235;4670.268120051;14;3902;3957;Chrome_IOThread;111816;1244929;1356745;1371761;1483577
4670.268164115;4670.268305742;21;4140;4230;Chrome_ChildIOT;141627;1198231;1339858;1352480;1494107
4670.268326410;4670.268715823;1;4140;4140;chromium;389413;785668;1175081;1339546;1728959
4670.267109176;4670.269115581;11;48165;48165;chromium;2006405;16959291;18965696;17444328;19450733
4670.268904714;4670.269137515;8;48165;48167;ThreadPoolForeg;232801;23160400;23393201;23293445;23526246
4670.269148235;4670.269176914;8;48165;48167;ThreadPoolForeg;28679;10720;39399;243521;272200
4670.270481914;4670.270495607;23;16;16;rcu_preempt;13693;12003780;12017473;12019765;12033458
4670.272130788;4670.272383534;10;4144;4150;Chrome_ChildIOT;252746;19068391;19321137;19193946;19446692
4670.272389778;4670.272504587;14;3902;3957;Chrome_IOThread;114809;4269727;4384536;4381543;4496352
4670.272530389;4670.273082513;4;3902;3902;chromium;552124;4507833;5059957;4775547;5327671
