Switched-In;Switched-Out;CPU;PID;TID;Comm;Runtime;Time Out-In;Time Out-Out;Time In-In;Time In-Out
4667.738574587;4667.738593862;10;46;46;migration/10;19275;968496808;968516083;968503444;968522719
4667.734519380;4667.738884038;11;48165;48165;chromium;4364658;16578;4381236;2645792;7010450
4667.738928548;4667.739320877;1;48165;48171;Compositor;392329;6856747;7249076;6943983;7336312
4667.739442108;4667.739514573;1;48165;48171;Compositor;72465;121231;193696;513560;586025
4667.739328107;4667.739713216;12;48165;48167;ThreadPoolForeg;385109;226606929;226992038;226618166;227003275
4667.739743626;4667.739781157;6;3902;3957;Chrome_IOThread;37531;10469756;10507287;10602922;10640453
4667.739777636;4667.739812442;0;3902;3902;chromium;34806;10612760;10647566;10872148;10906954
4667.739742309;4667.739844255;1;48165;48171;Compositor;101946;227736;329682;300201;402147
4667.739845569;4667.739866130;10;48165;48169;Chrome_ChildIOT;20561;7895811;7916372;7972000;7992561
4667.739860486;4667.739909769;21;4140;4230;Chrome_ChildIOT;49283;10272756;10322039;10541036;10590319
4667.739903116;4667.739918289;10;48165;48169;Chrome_ChildIOT;15173;36986;52159;57547;72720
4667.739988940;4667.740015352;21;4140;4230;Chrome_ChildIOT;26412;79171;105583;128454;154866
4667.739950594;4667.740025411;1;48165;48171;Compositor;74817;106339;181156;208285;283102
4667.740016351;4667.740078847;0;4140;4232;VizCompositorTh;62496;7709135;7771631;7797386;7859882
4667.739151329;4667.740789011;11;48165;48165;chromium;1637682;267291;1904973;4631949;6269631
4667.741235076;4667.741335544;2;4144;4150;Chrome_ChildIOT;100468;9776467;9876935;10681154;10781622
4667.741901011;4667.742398649;11;48165;48165;chromium;497638;1112000;1609638;2749682;3247320
4667.742555340;4667.742566087;23;16;16;rcu_preempt;10747;7978758;7989505;7989964;8000711
4667.742575722;4667.742594811;1;32758;32758;kworker/1:0;19089;167982708;168001797;167999717;168018806
4667.742575892;4667.742614445;0;49603;49603;kworker/0:0;38553;231629791;231668344;232009353;232047906
4667.742627788;4667.742635949;21;49600;49600;kworker/21:0;8161;4112739;4120900;4146683;4154844
4667.742658565;4667.742677350;10;49604;49604;kworker/10:0;18785;8133584;8152369;8151464;8170249
4667.742658561;4667.742677385;11;50122;50122;kworker/11:1;18824;8139181;8158005;8155759;8174583
4667.742699052;4667.742715164;2;7031;7031;kworker/2:0;16112;-1;-1;-1;-1
4667.742711340;4667.742730233;31;271;271;kworker/31:1;18893;872046498;872065391;872073113;872092006
4667.742698941;4667.742736994;20;49388;49388;kworker/u64:3;38053;8018135;8056188;8121250;8159303
4667.742701273;4667.742740588;12;48263;48263;kworker/u64:9;39315;4126686;4166001;4198021;4237336
4667.742702442;4667.742754763;22;49269;49269;kworker/u64:2;52321;7738161;7790482;7997423;8049744
4667.742740588;4667.742773456;12;417;417;kworker/12:1H;32868;-1;-1;-1;-1
4667.742754763;4667.742797534;22;409;409;kworker/22:1H;42771;-1;-1;-1;-1
4667.742782623;4667.742804455;21;389;389;kworker/21:1H;21832;8077604;8099436;8111207;8133039
4667.742969729;4667.743003006;20;49388;49388;kworker/u64:3;33277;232735;266012;270788;304065
4667.742972111;4667.743005555;12;48263;48263;kworker/u64:9;33444;231523;264967;270838;304282
4667.742910007;4667.743019309;22;49269;49269;kworker/u64:2;109302;155244;264546;207565;316867
4667.743005555;4667.743030871;12;417;417;kworker/12:1H;25316;232099;257415;264967;290283
4667.743019309;4667.743051396;22;409;409;kworker/22:1H;32087;221775;253862;264546;296633
4667.743036887;4667.743059246;21;389;389;kworker/21:1H;22359;232432;254791;254264;276623
4667.743207791;4667.743242743;20;49388;49388;kworker/u64:3;34952;204785;239737;238062;273014
4667.743210979;4667.743248544;12;48263;48263;kworker/u64:9;37565;205424;242989;238868;276433
4667.743257151;4667.743277374;13;414;414;kworker/13:1H;20223;-1;-1;-1;-1
4667.743281239;4667.743298797;21;389;389;kworker/21:1H;17558;221993;239551;244352;261910
4667.743159319;4667.743352086;22;49269;49269;kworker/u64:2;192767;140010;332777;249312;442079
4667.744600337;4667.744627182;20;49388;49388;kworker/u64:3;26845;1357594;1384439;1392546;1419391
4667.744574623;4667.744636554;12;48263;48263;kworker/u64:9;61931;1326079;1388010;1363644;1425575
4667.744638052;4667.744668096;13;414;414;kworker/13:1H;30044;1360678;1390722;1380901;1410945
4667.744663953;4667.744680275;21;389;389;kworker/21:1H;16322;1365156;1381478;1382714;1399036
4667.744511187;4667.744687838;22;49269;49269;kworker/u64:2;176651;1159101;1335752;1351868;1528519
4667.744717475;4667.744786037;12;48263;48263;kworker/u64:9;68562;80921;149483;142852;211414
4667.744767180;4667.744791899;20;49388;49388;kworker/u64:3;24719;139998;164717;166843;191562
4667.744791899;4667.744813425;20;407;407;kworker/20:1H;21526;-1;-1;-1;-1
4667.744905848;4667.744952892;20;49388;49388;kworker/u64:3;47044;113949;160993;138668;185712
4667.746592854;4667.746607585;13;36012;36012;kworker/13:0;14731;779944808;779959539;779958846;779973577
4667.746962653;4667.747171637;11;48165;48165;chromium;208984;4564004;4772988;5061642;5270626
4667.747195209;4667.747615648;2;4144;4150;Chrome_ChildIOT;420439;5859665;6280104;5960133;6380572
4667.747588146;4667.747693920;10;48165;48169;Chrome_ChildIOT;105774;7669857;7775631;7685030;7790804
4667.747667686;4667.747911245;11;48165;48165;chromium;243559;496049;739608;705033;948592
4667.748122411;4667.748215562;10;48165;48169;Chrome_ChildIOT;93151;428491;521642;534265;627416
4667.747944014;4667.748298583;2;4144;4150;Chrome_ChildIOT;354569;328366;682935;748805;1103374
4667.748207686;4667.748348397;11;48165;48165;chromium;140711;296441;437152;540000;680711
4667.748276870;4667.748374983;6;3902;3957;Chrome_IOThread;98113;8495713;8593826;8533244;8631357
4667.748341193;4667.748616990;2;4144;4150;Chrome_ChildIOT;275797;42610;318407;397179;672976
4667.748403418;4667.748650453;0;3902;3902;chromium;247035;8590976;8838011;8625782;8872817
4667.748614698;4667.748699312;10;48165;48169;Chrome_ChildIOT;84614;399136;483750;492287;576901
4667.748690857;4667.748887127;11;48165;48165;chromium;196270;342460;538730;483171;679441
4667.748920923;4667.749316732;2;4144;4150;Chrome_ChildIOT;395809;303933;699742;579730;975539
4667.749275540;4667.749360604;10;48165;48169;Chrome_ChildIOT;85064;576228;661292;660842;745906
4667.749352567;4667.749526109;11;48165;48165;chromium;173542;465440;638982;661710;835252
4667.749562605;4667.749958657;2;4144;4150;Chrome_ChildIOT;396052;245873;641925;641682;1037734
4667.749927073;4667.750013614;10;48165;48169;Chrome_ChildIOT;86541;566469;653010;651533;738074
4667.750005805;4667.750236306;11;48165;48165;chromium;230501;479696;710197;653238;883739
4667.750264943;4667.750296486;10;48165;48169;Chrome_ChildIOT;31543;251329;282872;337870;369413
4667.750220802;4667.750408122;2;4144;4150;Chrome_ChildIOT;187320;262145;449465;658197;845517
4667.750423375;4667.750497626;6;3902;3957;Chrome_IOThread;74251;2048392;2122643;2146505;2220756
4667.750497626;4667.750509119;6;32598;32598;kworker/6:1;11493;-1;-1;-1;-1
4667.750546242;4667.750559286;23;16;16;rcu_preempt;13044;7980155;7993199;7990902;8003946
4667.750291830;4667.750564487;11;48165;48165;chromium;272657;55524;328181;286025;558682
4667.750509119;4667.750569911;6;3902;3957;Chrome_IOThread;60792;11493;72285;85744;146536
4667.750568095;4667.750574745;23;106;106;migration/23;6650;979706561;979713211;979714736;979721386
4667.750586130;4667.750771219;0;3902;3902;chromium;185089;1935677;2120766;2182712;2367801
4667.751679693;4667.751740800;1;2376;2380;gmain;61107;-1;-1;-1;-1
4667.758583069;4667.758597337;23;16;16;rcu_preempt;14268;8023783;8038051;8036827;8051095
4667.762207099;4667.762374568;0;4140;4232;VizCompositorTh;167469;22128252;22295721;22190748;22358217
4667.762386401;4667.762493956;10;48165;48169;Chrome_ChildIOT;107555;12089915;12197470;12121458;12229013
4667.762464038;4667.762526410;1;48165;48171;Compositor;62372;22438627;22500999;22513444;22575816
4667.762526410;4667.762561909;1;160;160;migration/1;35499;992803086;992838585;992807864;992843363
4667.762552976;4667.762566724;23;16;16;rcu_preempt;13748;3955639;3969387;3969907;3983655
4667.762566724;4667.762576018;23;106;106;migration/23;9294;11991979;12001273;11998629;12007923
4667.762848224;4667.762943857;11;48165;48165;chromium;95633;12283737;12379370;12556394;12652027
4667.762616020;4667.762975877;8;48165;48171;Compositor;359857;89610;449467;151982;511839
4667.762987586;4667.763078316;21;4140;4230;Chrome_ChildIOT;90730;22972234;23062964;22998646;23089376
4667.763060779;4667.763131433;0;4140;4232;VizCompositorTh;70654;686211;756865;853680;924334
4667.766551682;4667.766693062;2;4144;4150;Chrome_ChildIOT;141380;16143560;16284940;16330880;16472260
4667.767472691;4667.767533169;18;2222;2387;gmain;60478;-1;-1;-1;-1
4667.770589648;4667.770612799;20;49388;49388;kworker/u64:3;23151;25636756;25659907;25683800;25706951
4667.771039463;4667.771059422;20;49388;49388;kworker/u64:3;19959;426664;446623;449815;469774
4667.794602807;4667.794793271;8;48165;48171;Compositor;190464;31626930;31817394;31986787;32177251
4667.794827529;4667.794837191;8;48165;48171;Compositor;9662;34258;43920;224722;234384
4667.794829368;4667.794915968;21;4140;4230;Chrome_ChildIOT;86600;31751052;31837652;31841782;31928382
4667.794768375;4667.794928091;12;48165;48167;ThreadPoolForeg;159716;55055159;55214875;55440268;55599984
4667.794960030;4667.795040154;8;48165;48171;Compositor;80124;122839;202963;132501;212625
4667.794959945;4667.795095695;0;4140;4232;VizCompositorTh;135750;31828512;31964262;31899166;32034916
4667.797210497;4667.797302831;0;4140;4232;VizCompositorTh;92334;2114802;2207136;2250552;2342886
4667.798566694;4667.798584120;0;49603;49603;kworker/0:0;17426;55952249;55969675;55990802;56008228
4667.798567378;4667.798591538;10;49604;49604;kworker/10:0;24160;55890028;55914188;55908813;55932973
4667.822323276;4667.822571660;11;48165;48165;chromium;248384;59379419;59627803;59475052;59723436
4667.830423336;4667.830552409;0;4140;4232;VizCompositorTh;129073;33120505;33249578;33212839;33341912
4667.830588838;4667.830613089;19;1030;1030;kworker/19:2;24251;-1;-1;-1;-1
4667.844440658;4667.844722095;2;4144;4150;Chrome_ChildIOT;281437;77747596;78029033;77888976;78170413
4667.844733264;4667.844825672;10;48165;48169;Chrome_ChildIOT;92408;82239308;82331716;82346863;82439271
4667.845029703;4667.845099807;2;4144;4150;Chrome_ChildIOT;70104;307608;377712;589045;659149
4667.846606874;4667.846620532;23;16;16;rcu_preempt;13658;84040150;84053808;84053898;84067556
4667.848204613;4667.848463018;2;4144;4150;Chrome_ChildIOT;258405;3104806;3363211;3174910;3433315
4667.848500302;4667.848603827;6;3902;3957;Chrome_IOThread;103525;97930391;98033916;97991183;98094708
4667.848633244;4667.849131639;0;3902;3902;chromium;498395;97862025;98360420;98047114;98545509
4667.852777463;4667.852798236;8;48165;48171;Compositor;20773;57737309;57758082;57817433;57838206
4667.852852435;4667.852874798;21;4140;4230;Chrome_ChildIOT;22363;57936467;57958830;58023067;58045430
4667.852905563;4667.852940896;0;4140;4232;VizCompositorTh;35333;22353154;22388487;22482227;22517560
4667.852931436;4667.852949440;10;48165;48169;Chrome_ChildIOT;18004;8105764;8123768;8198172;8216176
4667.853000481;4667.853029545;8;48165;48171;Compositor;29064;202245;231309;223018;252082
4667.844813656;4667.853262079;11;48165;48165;chromium;8448423;22241996;30690419;22490380;30938803
4667.852583371;4667.854157736;12;48165;48167;ThreadPoolForeg;1574365;57655280;59229645;57814996;59389361
4667.854625840;4667.854629865;23;16;16;rcu_preempt;4025;8005308;8009333;8018966;8022991
4667.858514859;4667.859487715;2;4144;4150;Chrome_ChildIOT;972856;10051841;11024697;10310246;11283102
4667.862590591;4667.862621151;24;264;264;kworker/24:1;30560;1023921163;1023951723;1023955520;1023986080
4667.862652848;4667.862666287;23;16;16;rcu_preempt;13439;8022983;8036422;8027008;8040447
4667.863005023;4667.863096436;0;4140;4232;VizCompositorTh;91413;10064127;10155540;10099460;10190873
4667.863027138;4667.863145350;8;48165;48171;Compositor;118212;9997593;10115805;10026657;10144869
4667.863190848;4667.863276381;21;4140;4230;Chrome_ChildIOT;85533;10316050;10401583;10338413;10423946
4667.863314494;4667.863441031;0;4140;4232;VizCompositorTh;126537;218058;344595;309471;436008
4667.870567250;4667.870582411;23;16;16;rcu_preempt;15161;7900963;7916124;7914402;7929563
